xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Reference: F. Jörg, D. Cichon, G. Eurin, L. Hötzsch, T. Marrodán Undagoitia, and N. Rupp, “Characterization of alpha and beta interactions in liquid xenon,” Eur. Phys. J. C, vol. 82, no. 4, p. 361, Apr. 2022.
DOI: 10.1140/epjc/s10052-022-10259-3
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

SPECIES: e / Xe
Density: NaN
Pressure: 1.68 bar
Temperature: 173.41 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (W)
COMMENT: kr83 source
COLUMNS: Electric field (kV/cm) | Uncertainty (kV/cm) | Drift Velocity (mm/μs) | Uncertainty (mm/μs)
-----------------------------
3.922271e-01,8.911283e-03,1.703910e+00,2.094123e-02
5.628341e-01,1.327334e-02,1.791946e+00,2.202321e-02
7.205810e-01,1.795323e-02,1.864256e+00,2.291190e-02
8.980478e-01,2.342000e-02,1.942409e+00,2.387241e-02
9.940776e-01,2.635994e-02,1.982388e+00,2.436376e-02
8.067476e-01,2.050642e-02,1.901671e+00,2.337173e-02
6.391405e-01,1.562567e-02,1.823333e+00,2.240896e-02
4.912437e-01,1.142112e-02,1.755847e+00,2.157954e-02
3.630648e-01,8.753527e-03,1.675968e+00,2.059782e-02
2.546000e-01,7.766868e-03,1.588318e+00,1.952060e-02
1.658580e-01,6.689098e-03,1.498734e+00,1.841959e-02
9.683091e-02,6.586063e-03,1.376470e+00,1.691696e-02
4.741628e-02,7.393401e-03,1.028000e+00,1.263423e-02
9.845931e-02,6.760332e-03,1.385894e+00,1.703279e-02
6.848675e-02,6.906139e-03,1.179831e+00,1.450024e-02
3.851149e-02,7.232114e-03,9.243611e-01,1.136049e-02
1.852980e-02,7.789487e-03,5.665464e-01,6.962915e-03
1.353345e-02,8.024898e-03,4.127811e-01,5.073122e-03
2.851920e-02,7.447395e-03,7.533777e-01,9.259090e-03
5.349915e-02,7.039702e-03,1.076087e+00,1.322522e-02
8.347299e-02,6.811277e-03,1.335372e+00,1.641187e-02
1.482200e-01,6.730779e-03,1.472591e+00,1.809829e-02
3.926402e-01,9.139723e-03,1.689969e+00,2.076989e-02
1.045308e+00,2.741158e-02,1.997489e+00,2.454935e-02
1.145106e+00,2.971409e-02,2.023495e+00,2.486896e-02
1.244905e+00,3.184679e-02,2.044242e+00,2.512395e-02
3.926461e-01,9.142491e-03,1.683522e+00,2.069066e-02
-----------------------------

SPECIES: e / Xe
Density: NaN
Pressure: 1.68 bar
Temperature: 173.41 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (W)
COMMENT: 222Rn source
COLUMNS: Electric field (kV/cm) | Uncertainty (kV/cm) | Drift Velocity (mm/μs) | Uncertainty (mm/μs)
-----------------------------
7.490126e-03,8.498477e-03,1.831680e-01,2.556791e-03
9.281815e-02,6.787171e-03,1.324471e+00,1.629337e-02
3.475781e-01,8.836016e-03,1.647919e+00,2.025399e-02
7.752190e-01,1.740126e-02,1.893950e+00,2.327787e-02
1.141690e-02,8.202202e-03,2.877215e-01,3.536128e-03
1.302860e-01,6.720170e-03,1.417195e+00,1.743257e-02
4.201091e-01,7.717086e-03,1.701007e+00,2.091320e-02
8.811309e-01,2.075115e-02,1.938727e+00,2.382836e-02
2.131356e-02,7.910457e-03,5.413527e-01,6.674248e-03
1.740260e-01,7.583981e-03,1.493947e+00,1.836108e-02
4.977112e-01,1.102441e-02,1.753198e+00,2.154909e-02
